Date,Price,Open,High,Low,Vol.,Change %
04/04/2010,11204.34 ,"11,380.63","11,408.17","11,148.80",701.97K,-0.72%
28/03/2010,11286.09 ,"10,909.98","11,313.98","10,901.20",756.38K,2.63%
21/03/2010,10996.37 ,"10,793.05","11,001.59","10,766.65",503.67K,1.59%
14/03/2010,10824.72 ,"10,802.11","10,864.30","10,708.97",621.39K,0.68%
07/03/2010,10751.26 ,"10,538.12","10,777.49","10,514.28",685.82K,3.69%
28/02/2010,10368.96 ,"10,128.73","10,376.41","10,116.86",589.24K,2.40%
21/02/2010,10126.03 ,"10,302.07","10,449.75","10,085.13",603.52K,0.02%
14/02/2010,10123.58 ,"10,097.82","10,354.42","10,012.53",552.68K,0.31%
07/02/2010,10092.19 ,"10,007.47","10,099.46","9,867.39",535.35K,0.35%
31/01/2010,10057.09 ,"10,212.36","10,438.41","10,036.33",794.74K,-1.38%
24/01/2010,10198.04 ,"10,478.31","10,566.49","10,198.04",779.41K,-3.71%
17/01/2010,10590.55 ,"10,887.61","10,895.10","10,528.33",871.96K,-3.57%
10/01/2010,10982.10 ,"10,770.35","10,982.10","10,729.86",963.11K,1.70%
03/01/2010,10798.32 ,"10,609.34","10,816.45","10,608.14",846.77K,2.39%
27/12/2009,10546.44 ,"10,521.81","10,707.51","10,513.55",370.23K,0.49%
20/12/2009,10494.71 ,"10,196.71","10,558.41","10,183.47",519.46K,3.48%
13/12/2009,10142.05 ,"10,126.61","10,260.12","10,009.60",846.28K,0.34%
06/12/2009,10107.87 ,"10,131.90","10,204.58","9,834.22",847.36K,0.85%
29/11/2009,10022.59 ,"9,189.17","10,022.59","9,162.18",937.78K,10.36%
22/11/2009,9081.52 ,"9,511.00","9,511.00","9,076.41",604.61K,-4.38%
15/11/2009,9497.68 ,"9,784.14","9,847.64","9,423.66",816.30K,-2.79%
08/11/2009,9770.31 ,"9,777.64","9,979.46","9,719.38",617.19K,-0.19%
01/11/2009,9789.35 ,"9,903.77","9,904.61","9,691.69",536.38K,-2.45%
25/10/2009,10034.74 ,"10,271.84","10,397.69","9,850.12",755.24K,-2.41%
18/10/2009,10282.99 ,"10,179.46","10,364.17","10,125.33",713.29K,0.25%
11/10/2009,10257.56 ,"10,066.85","10,290.31","10,016.24",595.48K,2.41%
04/10/2009,10016.39 ,"9,733.07","10,016.39","9,628.67",769.45K,2.92%
27/09/2009,9731.87 ,"10,136.24","10,151.60","9,714.18",716.13K,-5.20%
20/09/2009,10265.98 ,"10,405.53","10,566.98","10,228.60",310.01K,-1.01%
13/09/2009,10370.54 ,"10,388.32","10,443.80","10,170.74",679.07K,-0.71%
06/09/2009,10444.33 ,"10,288.56","10,522.23","10,249.11",678.60K,2.52%
30/08/2009,10187.11 ,"10,608.16","10,767.00","10,143.26",653.80K,-3.29%
23/08/2009,10534.14 ,"10,389.57","10,668.74","10,388.78",650.47K,2.89%
16/08/2009,10238.20 ,"10,521.02","10,521.02","10,142.22",690.01K,-3.39%
09/08/2009,10597.33 ,"10,530.62","10,630.38","10,434.09",675.62K,1.78%
02/08/2009,10412.09 ,"10,355.23","10,479.19","10,249.04",758.94K,0.53%
26/07/2009,10356.83 ,"10,020.87","10,359.07","10,015.11",776.55K,4.15%
19/07/2009,9944.55 ,"9,512.52","9,950.04","9,508.92",682.38K,5.85%
12/07/2009,9395.32 ,"9,242.13","9,489.67","9,050.33",806.94K,1.16%
05/07/2009,9287.28 ,"9,738.49","9,771.76","9,265.24",700.22K,-5.39%
28/06/2009,9816.07 ,"9,866.28","10,086.18","9,691.16",730.30K,-0.62%
21/06/2009,9877.39 ,"9,788.07","9,893.00","9,511.45",785.51K,0.93%
14/06/2009,9786.26 ,"10,126.55","10,126.55","9,649.83",855.71K,-3.45%
07/06/2009,10135.82 ,"9,829.28","10,170.82","9,755.81",1.02M,3.77%
31/05/2009,9768.01 ,"9,517.49","9,793.47","9,491.26",834.91K,2.58%
24/05/2009,9522.50 ,"9,245.95","9,522.50","9,231.93",730.71K,3.22%
17/05/2009,9225.81 ,"9,167.05","9,399.40","8,997.74",726.00K,-0.42%
10/05/2009,9265.02 ,"9,460.72","9,503.91","9,052.41",936.60K,-1.78%
03/05/2009,9432.83 ,"9,102.35","9,464.43","9,100.11",459.20K,5.07%
26/04/2009,8977.37 ,"8,783.34","9,017.32","8,493.77",651.40K,3.09%
19/04/2009,8707.99 ,"8,899.59","8,933.80","8,612.76",936.60K,-2.24%
12/04/2009,8907.58 ,"8,930.35","9,030.00","8,681.03",864.80K,-0.63%
05/04/2009,8964.11 ,"8,856.84","9,068.80","8,556.75",912.80K,2.45%
29/03/2009,8749.84 ,"8,621.85","8,884.63","8,084.62",930.40K,1.42%
22/03/2009,8626.97 ,"7,943.14","8,843.18","7,922.55",828.40K,8.57%
15/03/2009,7945.96 ,"7,630.20","8,054.35","7,630.20",636.60K,4.98%
08/03/2009,7569.28 ,"7,191.13","7,571.45","7,021.28",791.80K,5.52%
01/03/2009,7173.10 ,"7,454.28","7,532.87","7,088.47",776.80K,-5.22%
22/02/2009,7568.42 ,"7,314.30","7,599.81","7,155.16",760.20K,2.05%
15/02/2009,7416.38 ,"7,732.68","7,804.24","7,382.33",659.80K,-4.67%
08/02/2009,7779.40 ,"8,178.07","8,257.71","7,685.68",574.60K,-3.68%
01/02/2009,8076.62 ,"7,908.51","8,169.04","7,795.27",814.80K,1.03%
25/01/2009,7994.05 ,"7,714.26","8,305.38","7,671.04",715.60K,3.21%
18/01/2009,7745.25 ,"8,318.26","8,351.68","7,745.25",640.00K,-5.89%
11/01/2009,8230.15 ,"8,732.63","8,732.93","7,997.73",567.40K,-6.87%
04/01/2009,8836.80 ,"8,991.21","9,325.35","8,773.20",732.40K,-0.26%
28/12/2008,8859.56 ,"8,726.31","8,859.56","8,638.60",144.00K,1.37%
21/12/2008,8739.52 ,"8,602.50","8,751.18","8,476.69",347.60K,1.76%
14/12/2008,8588.52 ,"8,349.85","8,743.22","8,349.85",686.60K,4.28%
07/12/2008,8235.87 ,"7,970.69","8,720.55","7,959.01",793.20K,4.02%
30/11/2008,7917.51 ,"8,464.36","8,464.36","7,849.84",651.60K,-6.99%
23/11/2008,8512.27 ,"8,026.06","8,518.13","8,025.69",535.80K,7.60%
16/11/2008,7910.79 ,"8,366.88","8,767.98","7,406.18",773.60K,-6.52%
09/11/2008,8462.39 ,"8,711.99","9,106.29","8,148.30",785.20K,-1.41%
02/11/2008,8583.00 ,"8,702.77","9,521.24","8,266.09",755.80K,0.07%
26/10/2008,8576.98 ,"7,568.36","9,030.85","6,994.90",1.13M,12.13%
19/10/2008,7649.08 ,"8,775.24","9,358.51","7,647.07",892.40K,-12.02%
12/10/2008,8693.82 ,"8,407.94","9,601.30","8,407.94",712.00K,5.04%
05/10/2008,8276.43 ,"10,817.27","10,839.50","8,115.41",1.06M,-24.33%
28/09/2008,10938.14 ,"11,883.25","12,062.67","10,938.14",760.60K,-8.03%
21/09/2008,11893.16 ,"12,037.89","12,263.95","11,788.73",548.00K,-0.23%
14/09/2008,11920.86 ,"12,028.45","12,028.45","11,301.46",689.60K,-2.41%
07/09/2008,12214.76 ,"12,359.93","12,671.76","12,059.09",736.00K,0.02%
31/08/2008,12212.23 ,"12,936.81","12,940.55","12,163.33",644.20K,-6.58%
24/08/2008,13072.87 ,"12,797.54","13,079.37","12,656.09",471.00K,3.21%
17/08/2008,12666.04 ,"12,971.49","13,270.37","12,631.94",520.60K,-2.71%
10/08/2008,13019.41 ,"13,259.46","13,468.81","12,926.98",575.40K,-1.13%
03/08/2008,13168.41 ,"13,083.28","13,295.51","12,893.34",741.40K,0.56%
27/07/2008,13094.59 ,"13,407.36","13,468.94","13,018.22",581.00K,-1.80%
20/07/2008,13334.76 ,"12,944.56","13,603.31","12,921.02",475.40K,4.15%
13/07/2008,12803.70 ,"13,022.29","13,185.90","12,671.34",589.20K,-1.81%
06/07/2008,13039.69 ,"13,212.80","13,409.30","12,918.22",618.20K,-1.50%
29/06/2008,13237.89 ,"13,584.51","13,598.48","13,118.89",653.20K,-2.26%
22/06/2008,13544.36 ,"13,769.44","13,950.56","13,453.35",583.60K,-2.85%
15/06/2008,13942.08 ,"14,118.23","14,469.99","13,903.21",602.00K,-0.23%
08/06/2008,13973.73 ,"14,275.34","14,308.89","13,810.38",737.40K,-3.56%
01/06/2008,14489.44 ,"14,342.96","14,601.27","14,127.75",624.00K,1.05%
25/05/2008,14338.54 ,"13,875.98","14,366.63","13,665.57",645.80K,2.33%
18/05/2008,14012.20 ,"14,294.52","14,343.19","13,658.02",759.40K,-1.46%
11/05/2008,14219.48 ,"13,565.91","14,392.53","13,540.68",679.00K,4.13%
